map url,Name,rating,reviews,keyword,Address,city,postal,state,country,region,website link,website short,featured,bar,food,lessons,leagues,24hrs,bays,Notes,details_desc,facility_img,facility_img2,facility_img3,facility_img4,map_link,active,facility_slug
https://www.google.ca/maps/place/1+Putt+Virtual+Golf/data=!4m7!3m6!1s0x53a03bb874c270f7:0xb4a35993180769ee!8m2!3d53.641804!4d-113.4437544!16s%2Fg%2F11trzpwhjk!19sChIJ93DCdLg7oFMR7mkHGJNZo7Q?authuser=0&hl=en&rclk=1,1 Putt Virtual Golf,4.9,-78,Indoor golf course,6816 178 Ave NW,Edmonton,T5E 5S7,ab,can,edmonton,https://1putt.ca/,,,,,,,,,"""Nice air-conditioned facility and comfortable seating.""",,,,,,,,
https://www.google.ca/maps/place/365+GOLF/data=!4m7!3m6!1s0x53717b71668d136b:0x4d2b3e7c8b03851c!8m2!3d51.0821621!4d-114.2088202!16s%2Fg%2F11pyc2s1qr!19sChIJaxONZnF7cVMRHIUDi3w-K00?authuser=0&hl=en&rclk=1,365 GOLF,5,-169,Golf instructor,445 Na'a Common SW,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Aurora+Golf+%2B+Bar+Olds/data=!4m7!3m6!1s0x537411675760a24f:0xbcfebebdede97344!8m2!3d51.7963655!4d-114.109366!16s%2Fg%2F11vl1x00gy!19sChIJT6JgV2cRdFMRRHPp7b2-_rw?authuser=0&hl=en&rclk=1,Aurora Golf + Bar Olds,4.8,-29,Indoor golf course,4513 52 Ave #16b,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Aurora+Golf+%2B+Bar+Red+Deer/data=!4m7!3m6!1s0x5374555dea8de959:0x97ee9e63eef21e50!8m2!3d52.284063!4d-113.8162982!16s%2Fg%2F11s8b5fn2j!19sChIJWemN6l1VdFMRUB7y7mOe7pc?authuser=0&hl=en&rclk=1,Aurora Golf + Bar Red Deer,4.5,-107,Indoor golf course,6320 50 Ave #38,,,,,,,,,,,,,,,"""Great atmosphere, great staff and equipment.""",,,,,,,,
https://www.google.ca/maps/place/Ballistic+Indoor+Golf/data=!4m7!3m6!1s0x537165d934d171cd:0x94cf6e9d23c69ed4!8m2!3d51.0801318!4d-114.0064166!16s%2Fg%2F11sbbkswhk!19sChIJzXHRNNllcVMR1J7GI51uz5Q?authuser=0&hl=en&rclk=1,Ballistic Indoor Golf,4.7,-60,Indoor golf course,2323 32 Ave NE Unit#121,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Battle+River+Indoor+Golf/data=!4m7!3m6!1s0x537516a8dc33d16d:0x8ae71af9abc62220!8m2!3d52.657224!4d-113.6188965!16s%2Fg%2F11r8j0vr5!19sChIJbdEz3KgWdVMRICLGq_ka54o?authuser=0&hl=en&rclk=1,Battle River Indoor Golf,5,-4,Indoor golf course,"260054, Township Rd 425A",,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/BiGG+Golf+Academy+-+Optimize+Your+Golf+Game/data=!4m7!3m6!1s0x8d9efef0cb74367f:0xc8df0e1b5f0d718b!8m2!3d53.1726238!4d-114.0011159!16s%2Fg%2F11svyy9hxw!19sChIJfzZ0y_D-no0Ri3ENXxsO38g?authuser=0&hl=en&rclk=1,BiGG Golf Academy - Optimize Your Golf Game,5,-4,Golf instructor,48447 Range Rd 10,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Bill+Dreger+-+nonstopGOLF/data=!4m7!3m6!1s0x53716e53de7e2191:0xdab9fd01f3a1526d!8m2!3d51.1006063!4d-115.3658745!16s%2Fg%2F1vnrkpr4!19sChIJkSF-3lNucVMRbVKh8wH9udo?authuser=0&hl=en&rclk=1,Bill Dreger - nonstopGOLF,5,-1,Golf instructor,2000 8 Ave,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Blue+Devil+Golf+Club/data=!4m7!3m6!1s0x53719df53f6d11f7:0x9f8b8f3b29a20133!8m2!3d50.8858777!4d-114.0111837!16s%2Fg%2F1thsflq1!19sChIJ9xFtP_WdcVMRMwGiKTuPi58?authuser=0&hl=en&rclk=1,Blue Devil Golf Club,4.2,-523,Golf course,2300 194 Ave SE,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Bogey%27s+Indoor+Golf/data=!4m7!3m6!1s0x5375add5afc55007:0x142c39fc642a3d5f!8m2!3d52.3340603!4d-114.0700955!16s%2Fg%2F11l65g_w25!19sChIJB1DFr9WtdVMRXz0qZPw5LBQ?authuser=0&hl=en&rclk=1,Bogey's Indoor Golf,,,Indoor golf course,1231 Township Rd 391,,,,,,,,,,,,,,,,,,,,,,,
