map_url,Name,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,FQ2IWe src,ah5Ghc,W4Efsd 5,doJOZc,W4Efsd 6,Jn12ke src
https://www.google.ca/maps/place/7+IRON+Golf+Simulator+24%2F7/data=!4m7!3m6!1s0x4b598d11fa3c09c1:0x5a9c8f2dc0f18a29!8m2!3d44.7340626!4d-63.7838176!16s%2Fg%2F11m5vyf80g!19sChIJwQk8-hGNWUsRKYrxwC2PnFo?authuser=0&hl=en&rclk=1,7 IRON Golf Simulator 24/7,,,Indoor golf course,·,2069 Hammonds Plains Rd,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipNw2NjByf9iaM34XHJPtbGp1cNXD5_rcB7WqgLv=w80-h106-k-no,,,,,
https://www.google.ca/maps/place/7+IRON+Golf+Simulator+24%2F7/data=!4m7!3m6!1s0x4b598bcce8e2f37d:0x44e3a2df820d252a!8m2!3d44.6469!4d-63.71606!16s%2Fg%2F11wpzgqych!19sChIJffPi6MyLWUsRKiUNgt-i40Q?authuser=0&hl=en&rclk=1,7 IRON Golf Simulator 24/7,4.9,-16,Indoor golf course,·,1898 St Margarets Bay Rd,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipN1Jh0v-DIs0lM1quRUgnQbF5bCR6NIodVEOATZ=w137-h92-k-no,"""Good price point compared to other indoor spots too.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,
https://www.google.ca/maps/place/Admiral%27s+Green/data=!4m7!3m6!1s0x4b0ca4119957b2ef:0x53113dc2bd9a7f96!8m2!3d47.5910443!4d-52.7475332!16s%2Fg%2F1tf4dmf7!19sChIJ77JXmRGkDEsRln-avcI9EVM?authuser=0&hl=en&rclk=1,Admiral's Green,4.4,-43,Golf course,·,,·,460 Allandale Rd,Open,⋅ Closes 4 p.m.,https://lh5.googleusercontent.com/p/AF1QipPFGhcdlyNvH7Kk6viqpkGrFCv4nwiIuFRvrX0u=w163-h92-k-no,"""Some great views and an excellent place for events.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/All+About+Golf+Sports+Bar/data=!4m7!3m6!1s0x4b5e52e0c29fd23d:0x49fb6313958bdd97!8m2!3d46.2351237!4d-63.1285691!16s%2Fg%2F11g0j6qrtb!19sChIJPdKfwuBSXksRl92LlRNj-0k?authuser=0&hl=en&rclk=1,All About Golf Sports Bar,4.8,-15,Indoor golf course,·,,·,172 Queen St,Open,⋅ Closes 10 p.m.,https://lh5.googleusercontent.com/p/AF1QipNh9D3WcH5EeBeWG97uOYNPAwkX48LvFLT34AOC=w80-h106-k-no,"""Great place.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Backyard+Links+Virtual+Golf+Studio/data=!4m7!3m6!1s0x4b7347476e1c8f83:0x3c188068a352fd11!8m2!3d47.6492431!4d-53.500986!16s%2Fg%2F11ybh1_p5d!19sChIJg48cbkdHc0sREf1So2iAGDw?authuser=0&hl=en&rclk=1,Backyard Links Virtual Golf Studio,,,Indoor golf course,·,,412 NL-80,,Closed,⋅ Opens 5 p.m.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FygIr4VjcjGhEc4pLkJ_Zg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=124.817566&pitch=0&thumbfov=100,,
https://www.google.ca/maps/place/Bally+Haly+Country+Club/data=!4m7!3m6!1s0x4b0ca3e411d17f77:0xd44f27a05934271b!8m2!3d47.5896848!4d-52.6963784!16s%2Fm%2F0b6p2w_!19sChIJd3_REeSjDEsRGyc0WaAnT9Q?authuser=0&hl=en&rclk=1,Bally Haly Country Club,4.3,-127,Golf course,·,,·,100 Golf Course Rd,Open now,"Scenic, 18-hole golf course since 1896",https://lh5.googleusercontent.com/p/AF1QipMyMXZzwJnp9onCSuBcEPUKOX1YP1rUzk-3oH0t=w80-h106-k-no,"""Great golf experience but still a little pricey""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Belvedere+Golf+Club+Inc/data=!4m7!3m6!1s0x4b5e52a369012c03:0xfa3892d1a6220b7f!8m2!3d46.260734!4d-63.110557!16s%2Fg%2F11b5wl2qvw!19sChIJAywBaaNSXksRfwsiptGSOPo?authuser=0&hl=en&rclk=1,Belvedere Golf Club Inc,4.2,-99,Golf club,·,,·,1 Greensview Dr,Open,⋅ Closes 8 p.m.,https://lh5.googleusercontent.com/p/AF1QipM_LnusoNpLoWyMO-2Kks_FYh6Mvfd4EcN9WtlE=w163-h92-k-no,Onsite services,
https://www.google.ca/maps/place/Better+Golf+Bedford/data=!4m7!3m6!1s0x4b598978dc5f9ac5:0x6958a80eb2635e89!8m2!3d44.7281129!4d-63.7496708!16s%2Fg%2F11vqpkypfw!19sChIJxZpf3HiJWUsRiV5jsg6oWGk?authuser=0&hl=en&rclk=1,Better Golf Bedford,4.2,-28,Indoor golf course,·,1438 Hammonds Plains Rd,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipPyJ3S2o6601VWwoS8o3vM-dSpr3vwNahGVSnOC=w137-h92-k-no,,,,"""Great indoor facility.""",
https://www.google.ca/maps/place/Better+Golf+Fall+River/data=!4m7!3m6!1s0x4b5987ea05a28687:0xe0fb54dde1d0d069!8m2!3d44.7926191!4d-63.6430195!16s%2Fg%2F11wp74r32j!19sChIJh4aiBeqHWUsRadDQ4d1U--A?authuser=0&hl=en&rclk=1,Better Golf Fall River,4.3,-4,Indoor golf course,·,414 Windsor Junction Rd,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipM_nPO-97dX-vcQmSIPKtCqqAqSxcA-xL96BEOy=w122-h92-k-no,,,,,
https://www.google.ca/maps/place/BR8KING+PAR+GOLF/data=!4m7!3m6!1s0x4b734b17da2731e5:0x9599d966b2611b26!8m2!3d47.590849!4d-53.2688929!16s%2Fg%2F11ybzjly90!19sChIJ5TEn2hdLc0sRJhthsmbZmZU?authuser=0&hl=en&rclk=1,BR8KING PAR GOLF,,,Indoor golf course,·,,1 Bishops Rd,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h1a1RPPT1YxFE-iOUSqP1A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=231.5237&pitch=0&thumbfov=100,,
