hfpxzc href,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,FQ2IWe src,ah5Ghc,Jn12ke src
,,,,,,,,,,,,,
,,,,,,,,,,,,,
https://www.google.ca/maps/place/Golfzon+Social+-+Brooklyn/data=!4m7!3m6!1s0x89c25b6fbfa74edd:0x3fb82b85fda4daa8!8m2!3d40.6899751!4d-73.9853928!16s%2Fg%2F11vyzy97tt!19sChIJ3U6nv29bwokRqNqk_YUruD8?authuser=0&hl=en&rclk=1,Golfzon Social - Brooklyn,4.9,-163,Indoor golf course,·,,·,15 Hoyt St,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nquL7_lxdeCwX5lOez8t7OBqhZ_6rkZBH4SFMZX9G0rVW8luDRIK2PXFHUcXlm3wgyBwjboNvJ72gf8yyISwFggTUDqApldtuu9uNvusH0x8D-uMJqhznX9Elra494qWqVUqQln=w80-h106-k-no,Dine-in,
https://www.google.ca/maps/place/The+Mulligans+Golf+Club/data=!4m7!3m6!1s0x89c25f2971bdbe41:0x8c477f0a01d08b34!8m2!3d40.7438213!4d-73.9277511!16s%2Fg%2F11wg45bycm!19sChIJQb69cSlfwokRNIvQAQp_R4w?authuser=0&hl=en&rclk=1,The Mulligans Golf Club,5,-79,Indoor golf course,·,,·,37-04 Queens Blvd,Open,⋅ Closes 12 a.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr-3rbbUI6gqaP8HXvUiFXNuD6JDlDOp-_hvgccOmx-c11xZiUxH6GCGCS4c1umcWy8kOx4eJ9ik6jkrDhall947VRIH39yup4HmXVqVv2N6aDYTc71XxIbbmJa6_YEiwbmDery=w80-h106-k-no,"""Friendly staff, clean facilities, great and fun time""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Five+Iron+Golf/data=!4m7!3m6!1s0x89c2594108cbef65:0x59cd9d5874541b98!8m2!3d40.7509797!4d-73.9778639!16s%2Fg%2F11l29tj45n!19sChIJZe_LCEFZwokRmBtUdFidzVk?authuser=0&hl=en&rclk=1,Five Iron Golf,5,-287,Indoor golf course,·,,·,101 Park Ave Floor 3,Open,⋅ Closes 1 a.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npYOdBWRKLQ_JPcZaj5cCCM1ZqKAX0s1BKYrhvpR6QNR2OFwTxU8_6oVd20CW95-yXdYlgSsHjh5Jx6pILra80014PDiAZOmriDO4BG3p26w4E7hClFZeuTC2SP7jnQLEsnSfYI=w122-h92-k-no,"""The simulator was very fun, drinks were cheap, and the deals were great.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Five+Iron+Golf/data=!4m7!3m6!1s0x89c25985059e8ddb:0xd503e94f1a9d5270!8m2!3d40.7484018!4d-73.9892996!16s%2Fg%2F11n02_m393!19sChIJ242eBYVZwokRcFKdGk_pA9U?authuser=0&hl=en&rclk=1,Five Iron Golf,4.9,-316,Indoor golf course,·,,·,883 6th Ave 3rd floor,Open,⋅ Closes 1 a.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrOo3J0EF2ZRPPcw_GlJONy8tMfIFh5rT0gctdQfAVxd6jzOKBswujWXTkSP4TPe_MmTMJWW5wQPS0J4BzklnpUxhb0hCyVjVo_nlni3Pptz-ZW4nTapRGoWp_12TVdo-CwGd0uoQ=w122-h92-k-no,"""Very good golf simulators, friendly service, great location.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Golfzon+Social+-+Palisades+Center/data=!4m7!3m6!1s0x89c2e93c53ecd75f:0x840f4d582f6d0531!8m2!3d41.0976626!4d-73.9552874!16s%2Fg%2F11tjp8jc_8!19sChIJX9fsUzzpwokRMQVtL1hND4Q?authuser=0&hl=en&rclk=1,Golfzon Social - Palisades Center,5,-254,Indoor golf course,·,,·,3565 Palisades Center Dr,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPiTGN4DajgBjQl1PmOXMza5-JiqQhtOCxAYIT7_H2Q_AdtTugG91PqoFzNTCTNuc5aCuSbSJcCdeAmotqSm2y0oMmGPaUwOuBB1yrYJoqIjxCUQUSgLEscWtj7bLJ9VMpz0te=w80-h106-k-no,Dine-in,
https://www.google.ca/maps/place/IDG+CLUB+Golf+%26+Cafe/data=!4m7!3m6!1s0x89c2f999581c2843:0x7ddd8c652b812e4c!8m2!3d40.8734648!4d-74.0868111!16s%2Fg%2F11rrq5vw02!19sChIJQygcWJn5wokRTC6BK2WM3X0?authuser=0&hl=en&rclk=1,IDG CLUB Golf & Cafe,4.9,-94,Indoor golf course,·,,·,1 S Main St STE 6,Open,⋅ Closes 11:30 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noUc_blO6sPvvqAlJ0flRUWoQ9Jt2RYME_dTiNpNQILUBqg4pIgV9ueDgyKw7JEWfc54Dzhd1W_8NNe1p-NR09AzOAMur-EodPrb18IT_czphA8OTWYAVczXG1HGmWLYFPqup8sbg=w80-h106-k-no,Onsite services,
https://www.google.ca/maps/place/Five+Iron+Golf/data=!4m7!3m6!1s0x89c259f014895ec9:0x5788a8cb8e3815c0!8m2!3d40.745854!4d-73.946201!16s%2Fg%2F11s879pzfk!19sChIJyV6JFPBZwokRwBU4jsuoiFc?authuser=0&hl=en&rclk=1,Five Iron Golf,4.9,-213,Indoor golf course,·,,·,22-43 Jackson Ave,Open,⋅ Closes 1 a.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npQbRLu9jgNN8wYn5883gLaSQtpd2XHlF56fkao3_r9BAZfrz16CDQ_qx1lAR4Kp--40XRuPQty0MBwikvoaAtVCLW8AA-IdnNzihxB7liceLyxXxF-P5x-bYHZUJSDhkUT6Vo=w80-h106-k-no,"""Great indoor golf facility with top notch equipment and friendly staff.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Hudson+Golf/data=!4m7!3m6!1s0x89c2591aafa16dc3:0x6fba89a4f63fb534!8m2!3d40.7360494!4d-74.0286214!16s%2Fg%2F11thnfkgf5!19sChIJw22hrxpZwokRNLU_9qSJum8?authuser=0&hl=en&rclk=1,Hudson Golf,4.9,-94,Indoor golf course,·,,·,16 Hudson Pl,Open,⋅ Closes 12 a.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noFYAWx5eX3nxEQUZd17QR2DKzxI6eyZRn1CouKuBXtlHT4IjTIG7Ri9CMJvLx_gTLRa30Cs2wUAuc0KRWFZYs_Tv7gTJU7xIbERYo1q1zvOhLhrz_88j5MyrFWPwtwdC5mgYta=w122-h92-k-no,"""The service was lovely, the golf was fun, and the turkey club was delicious!""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
