id,keyword,Name,Address,city,postal,state,country,region,website link,website short,contact,featured,bar,food,lessons,leagues,24hrs,bays,Notes,details_desc,facility_img,facility_img2,facility_img3,facility_img4,map_link,active,facility_slug,rating,reviews,,,,,,,,
loaded,Updated,19th Hole Indoor Golf & Social,2051 Plains Rd. E.,Burlington,L7R 5A5,ont,can,gta_west,https://www.19thholegolf.ca/,19thholegolf.ca,info@19thholegolf.ca,0,1,1,0,1,0,4,Also has racing simulator and pool tables,"Our golf simulators use the latest technology from Trackman specifically designed for indoor golf. The Trackman iO gives you the ultimate indoor golf experience. With over 300 courses to choose from and more being added every month, you�ll always have something new to try.",uploads/19thHoleMain.webp,uploads/19thHolePool.webp,uploads/no_image.jpg,uploads/no_image.jpg,,1,19th-Hole-IndoorGolf-&-Social,4.9,-95,,,,,,,,
loaded,Updated,365 Golf Simulators,141 Reach St. Unit 2A,Uxbridge,L9P 1L3,ont,can,gta_north,https://365golfsimulators.ca/,365golfsimulators.ca,info@365golfsimulators.ca,0,0,0,1,0,0,4,Area to stretch with foam rollers and club washing station.,Welcome to Uxbridge's first fully autonomous indoor golf facility.,uploads/365GolfMain.webp,uploads/365Golf2.webp,uploads/365Golf3.webp,uploads/365Golf4.webp,,1,365-Golf-Simulators,4.9,-16,,,,,,,,
loaded,Updated,6ix Iron,142 George St.,Toronto,M5A 2M7,ont,can,toronto,https://www.6ixiron.com/,6ixiron.com,info@6ixiron.com,0,0,0,1,0,1,5,"We�re golf enthusiasts who created the simulator experience we wanted. We were frustrated with the unnecessary hurdles golfers had to jump through to get into a simulator, and decided to remove the friction.","Playing at a 6ix Iron Indoor Golf offers a unique and immersive experience, combining the thrill of golf with cutting-edge technology. The high-definition visuals and realistic physics make each swing feel authentic, while the climate-controlled environment ensures comfort regardless of the weather outside. The facility provides a perfect blend of fun, convenience, and precision, making it a favourite spot for golf enthusiasts of all levels",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,,1,6ix Iron,4.7,-37,,,,,,,,
loaded,Updated,Ace Golf Bar & Lounge,588 Eastern Ave.,Toronto,M4M 1E1,ont,can,toronto,http://www.acegolfbar.ca/,acegolfbar.ca,�info@acegolfbar.ca,0,1,1,1,0,0,6,Toronto's coolest indoor golf lounge!,,uploads/AceMain.webp,uploads/Ace2.webp,uploads/Ace3.webp,uploads/Ace4.webp,,1,Ace Golf Bar & Lounge,4.8,-116,,,,,,,,
loaded,Updated,Ace Track Indoor Golf Center,40 Engelhard Dr Unit 9,Aurora,L4G 6X6,ont,can,gta_north,https://www.acetrackgolf.com/,acetrackgolf.com,info@acetrackgolf.com,0,0,0,1,1,0,5,"Ace Track Golf is the premier indoor destination for golf enthusiasts in Aurora, Collingwood and surrounding areas.","Our state-of-the-art facility combines cutting-edge technology with the passion for the game, offering an�unrivalled�high-tech golf simulator experience.",uploads/,uploads/,uploads/,uploads/,,1,Ace Track Indoor Golf Center,4.9,-58,,,,,,,,
loaded,Updated,Ace Track Indoor Golf Center,10 Greco Court #4,Collingwood,L9Y 4L2,ont,can,gta_north,https://www.acetrackgolf.com/,acetrackgolf.com,info@acetrackgolf.com,0,0,0,1,1,0,4,"Ace Track Golf is the premier indoor destination for golf enthusiasts in Aurora, Collingwood and surrounding areas.","Our state-of-the-art facility combines cutting-edge technology with the passion for the game, offering an�unrivalled�high-tech golf simulator experience.",uploads/,uploads/,uploads/,uploads/,,1,Ace Track Indoor Golf Center,,,,,,,,,,
https://www.google.ca/maps/place/Ace+Track+Indoor+Golf+Center/data=!4m7!3m6!1s0x4d2adbd0dc1e5315:0x3b7dfc4754af4878!8m2!3d44.7318295!4d-79.9118055!16s%2Fg%2F11mcpnjxh8!19sChIJFVMe3NDbKk0ReEivVEf8fTs?authuser=0&hl=en&rclk=1,Coming Soon,Ace Track Indoor Golf Center,710 Balm Beach Rd E Unit B3,Midland,,,Indoor golf course,·,,710 Balm Beach Rd E Unit B3,,,,https://lh3.googleusercontent.com/p/AF1QipOZm8CJ6gVeQG-5kVcrDcsx5ON5q_N2Aza0eP-n=w138-h92-k-no,,,,,,,,,,,,,,,,,,,,,,,
loaded,Updated,Albatross Indoor Golf Centre,105 Portia Dr,Ancaster,L9G 3K9,ont,can,niagara,http://www.albatrossgolf.ca/,albatrossgolf.ca,will@albatross.ca,0,1,1,1,1,0,9,"Improve your swing, rain or shine � with Ancaster�s best golf simulator!",?,uploads/,uploads/,uploads/,uploads/Albatross4.jpg,,1,Albatross Indoor Golf Centre,4.8,-180,,,,,,,,
https://www.google.ca/maps/place/Alliance+Indoor+Golf/data=!4m7!3m6!1s0x882aa36fc0763973:0xf790f72be8dd84bb!8m2!3d44.4088075!4d-79.6832634!16s%2Fg%2F11vyxtmmdq!19sChIJczl2wG-jKogRu4Td6Cv3kPc?authuser=0&hl=en&rclk=1,Indoor golf course,Alliance Indoor Golf,33 Alliance Blvd unit 3,Barrie,4.3,-21,Indoor golf course,·,,33 Alliance Blvd unit 3,,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMKAUF_rwhvlkJBjcVHwH47Gs9OWQAEdUX650EJ=w92-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Good simulator and prices.""",,,,,,,,,,,,,,,,,,,,,
loaded,Updated,AllSports Simulated,"570 River Road, Youngs Sportsplex",Welland,L3B 0A2,ont,can,niagara,https://allsports-indoor-driving-range.square.site/,allsports-indoor-driving-range,info@allsportssimulated.ca,0,1,1,0,1,0,3,"""Well organized, terrific indoor facility and good value.""",Welcome to AllSports Simulated. One of the first of its kind in Canada! Bringing together the industry leading golf simulation technology from FullSwing with Canada�s premiere sports simulation technology into one ultimate experience. You will not find more entertainment value for your dollar!,uploads/AllSportsMain.webp,uploads/AllSports2.jpeg,uploads/AllSports3.webp,uploads/AllSports4.webp,,1,AllSports Simulated,4.9,-321,,,,,,,,
loaded,Updated,Anytime Golf,250 King George Rd Unit 9,Brantford,N3R 5L5,ont,can,ont_southwest,https://www.anytimegolfsims.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2120465071041875927,anytimegolfsims.com,admin@anytimegolfsims.com,0,0,0,1,1,1,3,,"Anytime Golf offers golfers the chance to play anytime day or night, rain or shine, whenever the mood strikes. With remote access, you can enjoy the game you love 24/7, with a click of a button book a tee time and you're all set to go! We offer simulators with the newest, most advanced technology. Our simulators offer real time video feedback providing the best in accuracy and realism, paired with stunning new software with 4K graphics and ultimate realism our simulators take playing indoors to a whole new level.",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,,1,Anytime Golf,4.7,-45,,,,,,,,
loaded,Updated,Anytime Golf,4-425 West St. N.,Orillia,L3V 7R2,ont,can,ont_north,https://www.anytimegolfsims.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2120465071041875927,anytimegolfsims.com,orillia@anytimegolfsims.com,0,0,0,1,1,1,3,,"Anytime Golf offers golfers the chance to play anytime day or night, rain or shine, whenever the mood strikes. With remote access, you can enjoy the game you love 24/7, with a click of a button book a tee time and you're all set to go! We offer simulators with the newest, most advanced technology. Our simulators offer real time video feedback providing the best in accuracy and realism, paired with stunning new software with 4K graphics and ultimate realism our simulators take playing indoors to a whole new level.",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,,1,Anytime Golf,,,,,,,,,,
https://www.google.ca/maps/place/Apex+Play/data=!4m7!3m6!1s0x882a7b9e73cb1b51:0xc2269b24b1d826de!8m2!3d44.494365!4d-80.2341743!16s%2Fg%2F11x72qq6td!19sChIJURvLc557KogR3ibYsSSbJsI?authuser=0&hl=en&rclk=1,General fitness,Apex Play,8 Stewart Rd,,,,Indoor golf course,·,,8 Stewart Rd,,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/p/AF1QipMUyZPJljflwRdagBQ2mj4cTCb1RPgZ08Ai-wYR=w122-h92-k-no,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Asta+Indoor+Golf/data=!4m7!3m6!1s0x89d58d5a28af0c3d:0x19fb7bade132cf42!8m2!3d44.3195569!4d-78.3314471!16s%2Fg%2F11pf5q6w56!19sChIJPQyvKFqN1YkRQs8y4a17-xk?authuser=0&hl=en&rclk=1,Bad website link,Asta Indoor Golf,856 Chemong Rd,,4.5,-2,Indoor golf course,·,,,,Open,⋅ Closes 11 p.m.,https://lh3.googleusercontent.com/p/AF1QipMDcFZ15xHJ8PBf4NdibkXrt_hdNBLLb0xGJM0_=w138-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""This review is for the indoor golf only.""",,,,,,,,,,,,,,,,,,,,,
