map url,Name,rating,reviews,keyword,Address,city,postal,state,country,region,website link,website short,,,FQ2IWe src,ah5Ghc,Jn12ke src
https://www.google.ca/maps/place/Golf+Lounge/data=!4m7!3m6!1s0x4cb7b1304506c0f5:0x3ceab8b4a070b116!8m2!3d45.4467043!4d-71.8623248!16s%2Fg%2F11tnxxg2jd!19sChIJ9cAGRTCxt0wRFrFwoLS46jw?authuser=0&hl=en&rclk=1,Golf Lounge,4.7,-31,Indoor golf course,3000 12e Avenue N suite 200,Sherbrook,,qc,can,sherbrook,http://www.golfloungesherbrooke.com/,,Open,⋅ Closes 9 p.m.,https://lh5.googleusercontent.com/p/AF1QipNlADM9luE6p8X8fvgfBQVIqmuXv8YBJacL0eaH=w80-h106-k-no,,
https://www.google.ca/maps/place/Golf+18+Laval/data=!4m7!3m6!1s0x4cc9215fe8c72a97:0x6e20ef9667f5690c!8m2!3d45.581005!4d-73.7481919!16s%2Fg%2F1tdg7dz1!19sChIJlyrH6F8hyUwRDGn1Z5bvIG4?authuser=0&hl=en&rclk=1,Golf 18 Laval,4.5,-117,Indoor golf course,2854 Boul. le Corbusier,Laval,H7L 3S1,qc,can,montreal,http://www.golf18.ca/,,Open,⋅ Closes 12 a.m.,https://lh5.googleusercontent.com/p/AF1QipNyS6YU8ccnJblFvE0Uu9hZq6WaPhp5P88OPwKN=w138-h92-k-no,,
https://www.google.ca/maps/place/Golf+IN+Brossard/data=!4m7!3m6!1s0x4cc9057727c802e9:0x6c1d5df4af725ca1!8m2!3d45.4740517!4d-73.4678865!16s%2Fg%2F1hm3tgt19!19sChIJ6QLIJ3cFyUwRoVxyr_RdHWw?authuser=0&hl=en&rclk=1,Golf IN Brossard,4.7,-80,Indoor golf course,6200 Taschereau Blvd,,,qc,can,,,,Open,⋅ Closes 8 p.m.,https://lh5.googleusercontent.com/p/AF1QipPW_LoO4ZIX4RrBJImr9ouC1jUZAqw4W3vWY_BN=w138-h92-k-no,Takeout,
https://www.google.ca/maps/place/King+Golf+Club/data=!4m7!3m6!1s0x4cc923f2bc39a629:0x83cbf12a4841c177!8m2!3d45.5428738!4d-73.7489594!16s%2Fg%2F11pcs0yc97!19sChIJKaY5vPIjyUwRd8FBSCrxy4M?authuser=0&hl=en&rclk=1,King Golf Club,4.9,-17,Indoor golf course,965 Bd du Curé-Labelle,,,qc,can,,,,Open,⋅ Closes 3 a.m.,https://lh5.googleusercontent.com/p/AF1QipNEtmbw9tO1jDkClHK7ldzLMxJv9hBl2iI02nLN=w121-h92-k-no,,
https://www.google.ca/maps/place/OB+Golf/data=!4m7!3m6!1s0x4cc8d7f8efb32637:0x9834a1cb44a7bcf0!8m2!3d45.6889645!4d-73.9028109!16s%2Fg%2F11sb00zyk5!19sChIJNyaz7_jXyEwR8LynRMuhNJg?authuser=0&hl=en&rclk=1,OB Golf,5,-26,Indoor golf course,1356 Bd du Curé-Labelle local 248,,,qc,can,,,,Open,⋅ Closes 12 a.m.,https://lh5.googleusercontent.com/p/AF1QipPTLVy3U52tJwuyQVLtxm_oGzCMM_KiQXtPAfQG=w80-h106-k-no,,
https://www.google.ca/maps/place/Golf+int%C3%A9rieur+Le+Birdie/data=!4m7!3m6!1s0x4cc91b17f4c0fbf9:0x8008e0e6687dfb63!8m2!3d45.5420037!4d-73.5725913!16s%2Fg%2F11w945kkbk!19sChIJ-fvA9BcbyUwRY_t9aObgCIA?authuser=0&hl=en&rclk=1,Golf intérieur Le Birdie,4.9,-31,Indoor golf course,"Entrée porte de gauche via stationnement, 2520 Bd Saint-Joseph E #204",,,qc,can,,,,Open 24 hours,,https://lh5.googleusercontent.com/p/AF1QipOiEhDQUlOc91ttzmUxEPd2tvC4a46PwRgcsh6o=w80-h106-k-no,,
https://www.google.ca/maps/place/Golf+1600+Inc./data=!4m7!3m6!1s0x4cc93c5572ffffff:0x2455861a0b2495e2!8m2!3d45.4870228!4d-73.7772291!16s%2Fg%2F11t4f0kxmc!19sChIJ____clU8yUwR4pUkCxqGVSQ?authuser=0&hl=en&rclk=1,Golf 1600 Inc.,5,-19,Indoor golf course,1600 Trans Canada Route,,,qc,can,,,,Open,⋅ Closes 7 p.m.,https://lh5.googleusercontent.com/p/AF1QipM-NB7v_x5LQXNwHHz8oNRajcEwFp2IQPM_Rm7D=w80-h106-k-no,,
https://www.google.ca/maps/place/T-Golf/data=!4m7!3m6!1s0x4cc9019b3d8b8d7b:0xed6216015d0cab76!8m2!3d45.5417448!4d-73.3578232!16s%2Fg%2F11kt46yp2w!19sChIJe42LPZsByUwRdqsMXQEWYu0?authuser=0&hl=en&rclk=1,T-Golf,5,-21,Indoor golf course,746 Mnt Montarville,,,qc,can,,,,Open,⋅ Closes 11 p.m.,https://lh5.googleusercontent.com/p/AF1QipMLpsBmpbbuxFLE5v9z5dPLkIedeV31ooqRzBdi=w122-h92-k-no,,
https://www.google.ca/maps/place/Golf+365+Quebec/data=!4m7!3m6!1s0x4cc92f676ef82f51:0x26f75b52e8c04df7!8m2!3d45.5562589!4d-73.9208507!16s%2Fg%2F11gydnn2_n!19sChIJUS_4bmcvyUwR903A6FJb9yY?authuser=0&hl=en&rclk=1,Golf 365 Quebec,4.8,-33,Indoor golf course,670 Bd Industriel,,,qc,can,,,,Open,⋅ Closes 12 a.m.,https://lh5.googleusercontent.com/p/AF1QipPJRLmRciRHKUXqlvSxi8dhiHJyg5KWYRXZNh8L=w163-h92-k-no,,
https://www.google.ca/maps/place/Muni/data=!4m7!3m6!1s0x4cc91b2d24ec7a7d:0x956cf496822d0dd7!8m2!3d45.4848458!4d-73.5637712!16s%2Fg%2F11w4gz4_f6!19sChIJfXrsJC0byUwR1w0tgpb0bJU?authuser=0&hl=en&rclk=1,Muni,4.8,-41,Indoor golf course,1750 Rue Saint-Patrick Suite R110,,,qc,can,,,,Open,⋅ Closes 11 p.m.,https://lh5.googleusercontent.com/p/AF1QipNM4_tAAsm-q9UGiZzkjvhOk-4BvzOd0T86llfr=w80-h106-k-no,Onsite services,
