Map,Name,Address,Google label,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,FQ2IWe src,Jn12ke src,ah5Ghc,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/24%2F7+Golf/data=!4m7!3m6!1s0x8819a96754fa08f9:0xd74988f79b98161d!8m2!3d43.041618!4d-85.6902891!16s%2Fg%2F11sf01ffk1!19sChIJ-Qj6VGepGYgRHRaYm_eISdc?authuser=0&hl=en&rclk=1,24/7 Golf,4255 Alpine Ave NW SUITE A,Indoor golf course,Indoor golf course,·,,·,4255 Alpine Ave NW SUITE A,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNeEtlZWKnMKkHgtbo95ax9NxISTaU9HqXSryI6=w80-h106-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Great place to golf and bringing your own drinks is a bonus""",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/24%2F7+Golf+-+Ludington/data=!4m7!3m6!1s0x881c115a27bf69e9:0x9a8a6a45c847ae19!8m2!3d43.9573274!4d-86.4232527!16s%2Fg%2F11vqr_0500!19sChIJ6Wm_J1oRHIgRGa5HyEVqipo?authuser=0&hl=en&rclk=1,24/7 Golf - Ludington,5756 US-10,Indoor golf course,·,,·,5756 US-10,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNGK3kzQQnWW9okHNy645qq3EUGX8szzdKeJRyT=w163-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""The simulators are very accurate and realistic.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/24%2F7+Golf+Lansing/data=!4m7!3m6!1s0x8822edcf08ee659b:0x2ed3d1f12f6a16bc!8m2!3d42.8145772!4d-84.541411!16s%2Fg%2F11lnpq5rgt!19sChIJm2XuCM_tIogRvBZqL_HR0y4?authuser=0&hl=en&rclk=1,24/7 Golf Lansing,1161 W Clark Rd suite 136,Indoor golf course,·,,·,1161 W Clark Rd suite 136,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNhNghAMDux9BIjweSowKfsZ4q8Sl7YyTb6sEs0=w80-h106-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""New golf simulator and everything was well kept.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/24%2F7+Golf+Traverse+City/data=!4m7!3m6!1s0x881fd1002f10618b:0x146632c6b6289eb3!8m2!3d44.7796439!4d-85.4967826!16s%2Fg%2F11mctfh258!19sChIJi2EQLwDRH4gRs54otsYyZhQ?authuser=0&hl=en&rclk=1,24/7 Golf Traverse City,6463 US-31,Indoor golf course,·,,6463 US-31,,Open 24 hours,,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/2FOGS%27s+Golf/data=!4m7!3m6!1s0x8823471657bad7f1:0xed72639273302115!8m2!3d42.6076459!4d-83.9302902!16s%2Fg%2F11q3ykjqdq!19sChIJ8de6VxZHI4gRFSEwc5Jjcu0?authuser=0&hl=en&rclk=1,2FOGS's Golf,120a W Grand River Ave Suite 210,Indoor golf course,Indoor golf course,·,,·,120a W Grand River Ave Suite 210,Open,⋅ Closes 11 p.m.,https://lh3.googleusercontent.com/p/AF1QipOgWe8QcKk0TFRCjd-OjPtpN7UOW1gv0lc7m24B=w80-h106-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""We all had a blast hanging out and playing a round of golf.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Ada+Indoor+Country+Club/data=!4m7!3m6!1s0x881851455d8a1b3b:0xf8bf0728f1e4727b!8m2!3d42.9577973!4d-85.4750961!16s%2Fg%2F11v3zcm466!19sChIJOxuKXUVRGIgRe3Lk8SgHv_g?authuser=0&hl=en&rclk=1,Ada Indoor Country Club,396 Pettis Ave SE,Indoor golf course,Indoor golf course,·,,·,396 Pettis Ave SE,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/p/AF1QipMH01U8YOHV3H39I4KH1h_uJIMJ9UpNbYnS4Rpl=w137-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Great equipment, great hospitality.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Ann+Arbor+Indoor+Golf/data=!4m7!3m6!1s0x883cb14365d12033:0x7e185567934e8e01!8m2!3d42.2792955!4d-83.8034554!16s%2Fg%2F11ll1v8khh!19sChIJMyDRZUOxPIgRAY5Ok2dVGH4?authuser=0&hl=en&rclk=1,Ann Arbor Indoor Golf,300 Jackson Plaza,Indoor golf course,Indoor golf course,·,,·,300 Jackson Plaza,Open,⋅ Closes 11 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noJF169s-WvY-6NrPL3O7ct1lrzcesWwbZPsTUWi4T7OXQjAkCW1CcPx7YwSEAVzbeXcR-ggiYhQVNKjlRHPABG2G64O_q1KNc7LC6YPXjNS4LPkthP-Hl3nmMJ4So9eFbV6zzSCA=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""... friendly staff and an accurate simulator with a lot of local courses.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Apple+Mountain/data=!4m7!3m6!1s0x8823cff7d38e80d9:0x5fcb4c7dd79aa00e!8m2!3d43.4710093!4d-84.1061692!16s%2Fg%2F11_swwxbh!19sChIJ2YCO0_fPI4gRDqCa131My18?authuser=0&hl=en&rclk=1,Apple Mountain,4519 N River Rd,Golf course,·,,·,4519 N River Rd,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npdTyMfw7MERageSL1kPOVrylZcE9Qx04iJ-umk7VI3UNqLMfWawYKZS69TiKNgn-idLa6uPmF3XV9ST9DMR8ocTxNTvYAzJYv0Mx5yH0MIPrEshpE1XANmhbMMwdlngyoEGqUt=w163-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Challenging course but still fun for all skill levels.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.google.ca/maps/place/Axis+Golf+-+Brooklyn,+MI/data=!4m7!3m6!1s0x883cdf4463dfa39b:0xe31cd8b94c75cc9!8m2!3d42.1007185!4d-84.2475533!16s%2Fg%2F11vkz7fnmv!19sChIJm6PfY0TfPIgRyVzHlIvNMQ4?authuser=0&hl=en&rclk=1","Axis Golf - Brooklyn, MI",225 S Main St Suite B,Indoor golf course,Indoor golf course,·,,·,225 S Main St Suite B,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOdde0lsUp4HrLAUkfw7tenvAx1r6N6tAeTaoF4=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Great golf simulator in a very spacious and nice area.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Back+2+the+Tee/data=!4m7!3m6!1s0x8823070dc77e209b:0xf5b97f741ef781ee!8m2!3d42.9962862!4d-84.1699732!16s%2Fg%2F11krjpzggn!19sChIJmyB-xw0HI4gR7oH3HnR_ufU?authuser=0&hl=en&rclk=1,Back 2 the Tee,201 S Washington St STE 10,Indoor golf course,·,,·,201 S Washington St STE 10,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/p/AF1QipNeHaRG4-Pjyf1O_4no0VUrMjZi049f--BwgUx4=w80-h106-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Went down and played 9 today with a couple friends, it did not disappoint!!!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
