facility_id,facility_name,facility_street,facility_city,facility_postal,state,country,region,website_link,website_short,contact,featured,bar,food,lessons,leagues,24hrs,bays,notes,details_desc,facility_img,facility_img2,facility_img3,facility_img4,map_link,active,facility_slug
loaded,19th Hole Indoor Golf & Social,2051 Plains Rd. E.,Burlington,L7R 5A5,ont,can,gta_west,https://www.19thholegolf.ca/,19thholegolf.ca,info@19thholegolf.ca,0,1,1,0,1,0,4,Also has racing simulator and pool tables,"Our golf simulators use the latest technology from Trackman specifically designed for indoor golf. The Trackman iO gives you the ultimate indoor golf experience. With over 300 courses to choose from and more being added every month, you’ll always have something new to try.",uploads/19thHoleMain.webp,uploads/19thHolePool.webp,uploads/no_image.jpg,uploads/no_image.jpg,https://www.google.ca/maps/place/19th+Hole+Indoor+Golf+%26+Social/data=!4m7!3m6!1s0x882b611531658f67:0xcc6d6e43f1457395!8m2!3d43.3408852!4d-79.8160189!16s%2Fg%2F11vl43_tkz!19sChIJZ49lMRVhK4gRlXNF8UNubcw?authuser=0&hl=en&rclk=1,1,19th-Hole-IndoorGolf-&-Social
loaded,365 Golf Simulators,141 Reach St. Unit 2A,Uxbridge,L9P 1L3,ont,can,gta_north,https://365golfsimulators.ca/,365golfsimulators.ca,info@365golfsimulators.ca,0,0,0,1,0,0,4,Area to stretch with foam rollers and club washing station.,Welcome to Uxbridge's first fully autonomous indoor golf facility.,uploads/365GolfMain.webp,uploads/365Golf2.webp,uploads/365Golf3.webp,uploads/365Golf4.webp,https://www.google.ca/maps/place/365+Golf+Simulators/data=!4m7!3m6!1s0x89d539ef6ed96ea7:0x78e6512d5022367d!8m2!3d44.1052334!4d-79.1109254!16s%2Fg%2F11v4m_s31b!19sChIJp27Zbu851YkRfTYiUC1R5ng?authuser=0&hl=en&rclk=1,1,365-Golf-Simulators
loaded,6ix Iron,142 George St.,Toronto,M5A 2M7,ont,can,toronto,https://www.6ixiron.com/,6ixiron.com,info@6ixiron.com,0,0,0,1,0,1,5,"We’re golf enthusiasts who created the simulator experience we wanted. We were frustrated with the unnecessary hurdles golfers had to jump through to get into a simulator, and decided to remove the friction.","Playing at a 6ix Iron Indoor Golf offers a unique and immersive experience, combining the thrill of golf with cutting-edge technology. The high-definition visuals and realistic physics make each swing feel authentic, while the climate-controlled environment ensures comfort regardless of the weather outside. The facility provides a perfect blend of fun, convenience, and precision, making it a favourite spot for golf enthusiasts of all levels",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,https://www.google.ca/maps/place/6ix+Iron/data=!4m7!3m6!1s0x89d4cb6fa28ded5d:0xc4a0858a2db36b7!8m2!3d43.6531172!4d-79.3720017!16s%2Fg%2F11wj2t5_wl!19sChIJXe2Nom_L1IkRtzbbolgISgw?authuser=0&hl=en&rclk=1,1,6ix Iron
loaded,Ace Golf Bar & Lounge,588 Eastern Ave.,Toronto,M4M 1E1,ont,can,toronto,http://www.acegolfbar.ca/,acegolfbar.ca, info@acegolfbar.ca,0,1,1,1,0,0,6,Toronto's coolest indoor golf lounge!,,uploads/AceMain.webp,uploads/Ace2.webp,uploads/Ace3.webp,uploads/Ace4.webp,https://www.google.ca/maps/place/Ace+Golf+Bar+%26+Lounge/data=!4m7!3m6!1s0x89d4cb836c4197d7:0x14c153cab4ed6924!8m2!3d43.6590804!4d-79.3369881!16s%2Fg%2F11kqctw_zw!19sChIJ15dBbIPL1IkRJGnttMpTwRQ?authuser=0&hl=en&rclk=1,1,Ace Golf Bar & Lounge
loaded,Ace Track Indoor Golf Center,40 Engelhard Dr Unit 9,Aurora,L4G 6X6,ont,can,gta_north,https://www.acetrackgolf.com/,acetrackgolf.com,info@acetrackgolf.com,0,0,0,1,1,0,5,"Ace Track Golf is the premier indoor destination for golf enthusiasts in Aurora, Collingwood and surrounding areas.","Our state-of-the-art facility combines cutting-edge technology with the passion for the game, offering an unrivalled high-tech golf simulator experience.",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,https://www.google.ca/maps/place/Ace+Track+Indoor+Golf+Center/data=!4m7!3m6!1s0x882ad36ac8efb8c3:0xae902ba4b225a99f!8m2!3d43.9902642!4d-79.4551796!16s%2Fg%2F11kqq28wjq!19sChIJw7jvyGrTKogRn6klsqQrkK4?authuser=0&hl=en&rclk=1,1,Ace Track Indoor Golf Center
loaded,Ace Track Indoor Golf Center,10 Greco Court #4,Collingwood,L9Y 4L2,ont,can,gta_north,https://www.acetrackgolf.com/,acetrackgolf.com,info@acetrackgolf.com,0,0,0,1,1,0,4,"Ace Track Golf is the premier indoor destination for golf enthusiasts in Aurora, Collingwood and surrounding areas.","Our state-of-the-art facility combines cutting-edge technology with the passion for the game, offering an unrivalled high-tech golf simulator experience.",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,,1,Ace Track Indoor Golf Center
loaded,Albatross Indoor Golf Centre,105 Portia Dr,Ancaster,L9G 3K9,ont,can,niagara,http://www.albatrossgolf.ca/,albatrossgolf.ca,will@albatross.ca,0,1,1,1,1,0,9,"Improve your swing, rain or shine – with Ancaster’s best golf simulator!",?,uploads/Albatross4.jpg,uploads/Albatross4.jpg,uploads/Albatross4.jpg,uploads/Albatross4.jpg,https://www.google.ca/maps/place/Albatross+Indoor+Golf+Centre/data=!4m7!3m6!1s0x882c897471801101:0x1861baaad5fdce1d!8m2!3d43.1980918!4d-80.0198019!16s%2Fg%2F11llbtm67l!19sChIJARGAcXSJLIgRHc791aq6YRg?authuser=0&hl=en&rclk=1,1,Albatross Indoor Golf Centre
loaded,AllSports Simulated,"570 River Road, Youngs Sportsplex",Welland,L3B 0A2,ont,can,niagara,https://allsports-indoor-driving-range.square.site/,allsports-indoor-driving-range,info@allsportssimulated.ca,0,1,1,0,1,0,3,"""Well organized, terrific indoor facility and good value.""",Welcome to AllSports Simulated. One of the first of its kind in Canada! Bringing together the industry leading golf simulation technology from FullSwing with Canada’s premiere sports simulation technology into one ultimate experience. You will not find more entertainment value for your dollar!,uploads/AllSportsMain.webp,uploads/AllSports2.jpeg,uploads/AllSports3.webp,uploads/AllSports4.webp,https://www.google.ca/maps/place/ALLSPORTS+SIMULATED+Eatery+%26+Bar/data=!4m7!3m6!1s0x89d349aafefffffb:0x2483d0efcd2e3119!8m2!3d43.0093046!4d-79.2341007!16s%2Fg%2F11gh35twsq!19sChIJ-____qpJ04kRGTEuze_QgyQ?authuser=0&hl=en&rclk=1,1,AllSports Simulated
loaded,Anytime Golf,250 King George Rd Unit 9,Brantford,N3R 5L5,ont,can,ont_southwest,https://www.anytimegolfsims.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2120465071041875927,anytimegolfsims.com,admin@anytimegolfsims.com,0,0,0,1,1,1,3,,"Anytime Golf offers golfers the chance to play anytime day or night, rain or shine, whenever the mood strikes. With remote access, you can enjoy the game you love 24/7, with a click of a button book a tee time and you're all set to go! We offer simulators with the newest, most advanced technology. Our simulators offer real time video feedback providing the best in accuracy and realism, paired with stunning new software with 4K graphics and ultimate realism our simulators take playing indoors to a whole new level.",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,https://www.google.ca/maps/place/Anytime+Golf/data=!4m7!3m6!1s0x882c6f7619399743:0x45ec5ab55eb2ba8e!8m2!3d43.177885!4d-80.2789099!16s%2Fg%2F11v17g12lm!19sChIJQ5c5GXZvLIgRjrqyXrVa7EU?authuser=0&hl=en&rclk=1,1,Anytime Golf
loaded,Anytime Golf,4-425 West St. N.,Orillia,L3V 7R2,ont,can,ont_north,https://www.anytimegolfsims.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2120465071041875927,anytimegolfsims.com,orillia@anytimegolfsims.com,0,0,0,1,1,1,3,,"Anytime Golf offers golfers the chance to play anytime day or night, rain or shine, whenever the mood strikes. With remote access, you can enjoy the game you love 24/7, with a click of a button book a tee time and you're all set to go! We offer simulators with the newest, most advanced technology. Our simulators offer real time video feedback providing the best in accuracy and realism, paired with stunning new software with 4K graphics and ultimate realism our simulators take playing indoors to a whole new level.",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,,1,Anytime Golf
loaded,Back Nine HD Golf Inc.,7170 W Credit Ave,Mississauga,L5N 7E5,ont,can,gta_west,http://back-nine.ca/,back-nine.ca,(905) 814-6464,0,1,1,1,0,0,9,"""The staff are excellent and the facilities very clean and well kept.""",,uploads/BackNineMain.webp,uploads/BackNine2.webp,uploads/BackNine3.webp,uploads/BackNine4.webp,https://www.google.ca/maps/place/Back+Nine+HD+Golf+Inc./data=!4m7!3m6!1s0x882b6a921e6b0e4d:0xd28b84cbd1b18c87!8m2!3d43.6084447!4d-79.756832!16s%2Fg%2F1thcndnh!19sChIJTQ5rHpJqK4gRh4yx0cuEi9I?authuser=0&hl=en&rclk=1,1,Back Nine HD Golf Inc.
