"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","A1zNzb href","J8zHNe","ah5Ghc 2","Jn12ke src"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.ca/maps/place/The+Clubhouse+Indoor+Golf+World/data=!4m7!3m6!1s0x80db7f396c0d7dcd:0x7060d103710a31d1!8m2!3d33.5519481!4d-117.1421696!16s%2Fg%2F11vql921nx!19sChIJzX0NbDl_24AR0TEKcQPRYHA?authuser=0&hl=en&rclk=1","The Clubhouse Indoor Golf World","5.0","(57)","Indoor golf course","·","","·","26951 Date St","Open","⋅ Closes 10 p.m.","https://lh3.googleusercontent.com/p/AF1QipMmsQIryFgwZT0vsnetOoQP4U8aFAydlKrlRpH6=w163-h92-k-no","Onsite services","","","",""
"https://www.google.ca/maps/place/WIRED+Golf+Club/data=!4m7!3m6!1s0x80c2bb10c5fcc2c1:0x7221301a0d75dd3b!8m2!3d34.0231271!4d-118.4619477!16s%2Fg%2F11ghr0z0c0!19sChIJwcL8xRC7woARO911DRowIXI?authuser=0&hl=en&rclk=1","WIRED Golf Club","4.9","(28)","Indoor golf course","·","","·","2606 Pico Blvd","Open","⋅ Closes 9 p.m.","https://lh3.googleusercontent.com/p/AF1QipNDYvAQuObFS7tADrVhe6ZOocaFgzVD0mTKCAD6=w122-h92-k-no","","https://www.mindbodyonline.com/explore/locations/wired-golf?hl=en-CA&gei=75j9Z9uVN7euptQP4pSc6Qk&rwg_token=AAiGsoYxRvuvcy_lq942iF9RYDR6AKHtqo8biW0CD_VvXb3FbXQMk7xHzq4sFKHiSzcZTQlxXBoxKCCODcmFOCkFaF5V00m4RA%3D%3D","Book online","",""
"https://www.google.ca/maps/place/Onyx+Indoor+Golf+%26+Cafe/data=!4m7!3m6!1s0x80dce91f9541d71d:0xa19d06aa4de9af4a!8m2!3d33.6575877!4d-117.7001403!16s%2Fg%2F11v9c45fx1!19sChIJHddBlR_p3IARSq_pTaoGnaE?authuser=0&hl=en&rclk=1","Onyx Indoor Golf & Cafe","4.8","(51)","Indoor golf course","·","","·","20996 Bake Pkwy # 106","Open","⋅ Closes 9 p.m.","https://lh3.googleusercontent.com/p/AF1QipMCNRtk0-VnK2Z5XuRybpVXshLXHPnROAikY2fk=w80-h120-k-no","Onsite services","","","",""
"https://www.google.ca/maps/place/GOLFi+Indoor+Golf+Center/data=!4m7!3m6!1s0x80dccfcd4e388c0b:0xfe7870a2efb8dd26!8m2!3d33.8805409!4d-117.7348124!16s%2Fg%2F11wfds3xp_!19sChIJC4w4Ts3P3IARJt2476JweP4?authuser=0&hl=en&rclk=1","GOLFi Indoor Golf Center","5.0","(19)","Indoor golf course","·","","·","22601 La Palma Ave #107","Open","⋅ Closes 8 p.m.","https://lh3.googleusercontent.com/p/AF1QipPJQV-MxApW9CquC7c784dkeqEjXCbsou3Xfch9=w80-h106-k-no","Onsite services","https://www.golfnow.com/tee-times/facility/19289/search?utm_source=google&utm_medium=organic&utm_campaign=reserve&utm_content=primary&hl=en-CA&gei=75j9Z9uVN7euptQP4pSc6Qk&rwg_token=AAiGsoaYdOjM7mEiwvdDUq1cPLquxll7Z8Yr61iREdSHylvF3Tg90Ju43bHSpPoEfIGV1Bs_IJVhS50UYIqUEqxhtTFYUcHwSA%3D%3D","Book online","",""
"https://www.google.ca/maps/place/Fox+Hole+Golf+Club/data=!4m7!3m6!1s0x808fc9824c2b81fb:0x455a8078a57f720f!8m2!3d37.3860593!4d-121.9460432!16s%2Fg%2F11ld9bj36y!19sChIJ-4ErTILJj4ARD3J_pXiAWkU?authuser=0&hl=en&rclk=1","Fox Hole Golf Club","5.0","(16)","Indoor golf course","·","","·","545 Aldo Ave #13","Open","⋅ Closes 9 p.m.","https://lh3.googleusercontent.com/p/AF1QipMXpRI5D4ry-5IKNhEmmmjpfnRhtY95Gcj0wVXq=w122-h92-k-no","Onsite services","","","",""
"https://www.google.ca/maps/place/The+Birdhouse+Indoor+Golf/data=!4m7!3m6!1s0x80dce92cb2545067:0x9f0140522c9225ad!8m2!3d33.6216338!4d-117.7182314!16s%2Fg%2F11vf0yy394!19sChIJZ1BUsizp3IARrSWSLFJAAZ8?authuser=0&hl=en&rclk=1","The Birdhouse Indoor Golf","5.0","(26)","Indoor golf course","·","","·","23521 Ridge Rte Dr Suite B","Open","⋅ Closes 9 p.m.","https://lh3.googleusercontent.com/p/AF1QipOV2YSDfi0CvYRryCNxYgaDb9nhzHfhGpvmaBsA=w122-h92-k-no","Onsite services","https://www.google.com/maps/reserve/appt/place/ChIJZ1BUsizp3IARrSWSLFJAAZ8/mid/%2Fg%2F11vf0yy394?hl=en-CA&gei=75j9Z9uVN7euptQP4pSc6Qk&sourceurl=https://www.google.ca/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dca%26pb%3D!4m9!1m3!1d15891.043600181529!2d-79.6557312!3d43.4864128!2m0!3m2!1i1032!2i527!4f13.1!7i20!10b1!12m24!1m5!18b1!30b1!31m1!1b1!34e1!2m3!5m1!6e2!20e3!4b0!10b1!12b1!13b1!16b1!17m1!3e1!20m3!5e2!6b1!14b1!46m1!1b0!96b1!19m4!2m3!1i360!2i120!4i8!20m48!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m33!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!1m3!1e9!2b1!3e2!2b1!9b0!22m5!1s4pj9Z4nEK_-KptQP94SIUA:130!2s1i:0,t:150715,p:4pj9Z4nEK_-KptQP94SIUA:130!7e81!12e3!17s4pj9Z4nEK_-KptQP94SIUA:134!24m108!1m32!13m9!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!25b1!18m21!3b1!4b1!5b1!6b1!9b1!12b1!13b1!14b1!17b1!20b1!21b1!22b1!25b1!27m1!1b0!28b0!32b1!33m1!1b1!34b0!36e1!10m1!8e3!11m1!3e1!14m1!3b0!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m1!1b1!65m5!3m4!1m3!1m2!1i224!2i298!71b1!72m22!1m8!2b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!4b1!8m10!1m6!4m1!1e1!4m1!1e3!4m1!1e4!3sother_user_google_reviews!6m1!1e1!9b1!89b1!98m3!1b1!2b1!3b1!103b1!113b1!114m3!1b1!2m1!1b1!117b1!122m1!1b1!125b1!126b1!127b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i530!2i527!1m6!1m2!1i982!2i0!2m2!1i1032!2i527!1m6!1m2!1i0!2i0!2m2!1i1032!2i20!1m6!1m2!1i0!2i507!2m2!1i1032!2i527!34m19!2b1!3b1!4b1!6b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!31b1!37m1!1e81!42b1!47m0!49m10!3b1!6m2!1b1!2b1!7m2!1e3!2b1!8b1!9b1!10e2!50m4!2e2!3m2!1b1!3b1!67m3!7b1!10b1!14b1!69i729%26q%3Dindoor%2Bgolf%2Bcourse%2Bnear%2BCalifornia,%2BUSA%26nfpr%3D1%26ech%3D1%26psi%3D4pj9Z4nEK_-KptQP94SIUA.1744672994861.1","Book online","",""
"https://www.google.ca/maps/place/SVN2+Indoor+Golf/data=!4m7!3m6!1s0x80e8319f3f6395af:0x844ad53fa9dc5394!8m2!3d34.1938982!4d-118.9451581!16s%2Fg%2F11t2_w2drv!19sChIJr5VjP58x6IARlFPcqT_VSoQ?authuser=0&hl=en&rclk=1","SVN2 Indoor Golf","4.9","(53)","Indoor golf course","·","","·","3311 Grande Vista Dr","Open","⋅ Closes 10 p.m.","https://lh3.googleusercontent.com/p/AF1QipOBfv9gGXT57wXpBQAhJ7aTIpTayZw92lRCK-HF=w138-h92-k-no","Onsite services","","","",""
"https://www.google.ca/maps/place/X-Golf+El+Dorado+Hills/data=!4m7!3m6!1s0x809ae521b141482d:0x21a547e3e2a39ac5!8m2!3d38.6516501!4d-121.0626015!16s%2Fg%2F11shpg6klz!19sChIJLUhBsSHlmoARxZqj4uNHpSE?authuser=0&hl=en&rclk=1","X-Golf El Dorado Hills","4.9","(44)","Indoor golf course","·","","·","2085 Vine St Suite 201","Open","⋅ Closes 10 p.m.","https://lh3.googleusercontent.com/p/AF1QipNOxhMB0GHUW9BOmosuDrJol6pvD7haumf1N6aK=w92-h92-k-no","","","","",""
