"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc"
"https://www.google.ca/maps/place/Tee+Time+Golf/data=!4m7!3m6!1s0x53a01982ff1e06e1:0x496a29dc50d092ac!8m2!3d53.4750704!4d-113.4679696!16s%2Fg%2F11vs1wgp3_!19sChIJ4QYe_4IZoFMRrJLQUNwpakk?authuser=0&hl=en&rclk=1","Tee Time Golf","5.0","(44)","Indoor golf course","·","","·","3920 91 St NW","Open","⋅ Closes 11 p.m.","https://lh5.googleusercontent.com/p/AF1QipPJp8hJOSTGKIDjnhM6nKKIPBUb6gjoTKpvf8QT=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The rooms are spacious and comfy, drink selection is great."""
"https://www.google.ca/maps/place/Golfzon+West/data=!4m7!3m6!1s0x53a02141e99331a5:0x14c6e3458d6049ea!8m2!3d53.5593315!4d-113.586522!16s%2Fg%2F11cjj0jlhm!19sChIJpTGT6UEhoFMR6klgjUXjxhQ?authuser=0&hl=en&rclk=1","Golfzon West","4.4","(132)","Indoor golf course","·","","15354 111 Ave NW","","Open","⋅ Closes 10 p.m.","https://lh5.googleusercontent.com/p/AF1QipMERVkh4gcM6BlZtccl2LD1Dj1_Q1vCmrrRVRKH=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Love the automatic ball setter and the technology in your private room."""
"https://www.google.ca/maps/place/LUXE+Indoor+Golf/data=!4m7!3m6!1s0x53a019b79f6aeef5:0xe6bc7aa548babab5!8m2!3d53.4845502!4d-113.4869215!16s%2Fg%2F11s4bxqqp5!19sChIJ9e5qn7cZoFMRtbq6SKV6vOY?authuser=0&hl=en&rclk=1","LUXE Indoor Golf","4.7","(91)","Indoor golf course","·","","·","4612 99 St NW","Open","⋅ Closes 11 p.m.","https://lh5.googleusercontent.com/p/AF1QipMpdzLHKm0bGxHnWkNrXQcWK5yTrBXhRJxpl6bi=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great simulators,  spacious rooms,  very good price"""
"https://www.google.ca/maps/place/Virtual+Tee+Up+Indoor+Golf/data=!4m7!3m6!1s0x53a01f719539b329:0xd67f658ddd28a137!8m2!3d53.4781945!4d-113.4869699!16s%2Fg%2F11p118z47k!19sChIJKbM5lXEfoFMRN6Eo3Y1lf9Y?authuser=0&hl=en&rclk=1","Virtual Tee Up Indoor Golf","4.9","(144)","Indoor golf course","·","","·","4146 99 St NW","Open","⋅ Closes 11 p.m.","https://lh5.googleusercontent.com/p/AF1QipOXt7b4a57gn1i55sXwy4SqA2WaLa2WfgC6Cyxb=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent AC, snacks and the rooms are spacious and clean."""
"https://www.google.ca/maps/place/THE+GOLF+FACTORY/data=!4m7!3m6!1s0x53a020dd59900001:0xb62a9d43751b1e9a!8m2!3d53.5473411!4d-113.6376084!16s%2Fg%2F11np3gk9vy!19sChIJAQCQWd0goFMRmh4bdUOdKrY?authuser=0&hl=en&rclk=1","THE GOLF FACTORY","4.7","(70)","Indoor golf course","·","","·","10457 184 St NW","Open","⋅ Closes 9 p.m.","https://lh5.googleusercontent.com/p/AF1QipObw4XVlfJ4kZYPuRqMsbsbFZfwy5CK7xRxI3LE=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Big, open, no more claustrophobic hitting booths."""
"https://www.google.ca/maps/place/Paradise+Indoor+Golf/data=!4m7!3m6!1s0x539ff9231d94c1e1:0x41aafc68a7e3dd81!8m2!3d53.2765954!4d-113.5402202!16s%2Fg%2F11j_4q86r8!19sChIJ4cGUHSP5n1MRgd3jp2j8qkE?authuser=0&hl=en&rclk=1","Paradise Indoor Golf","4.8","(34)","Indoor golf course","·","","·","6109 45 St #1","Open","⋅ Closes 10 p.m.","https://lh5.googleusercontent.com/p/AF1QipM18Upvzvjhw7nR3PeXCO136SZ0qSK45TEetB_r=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Multi rooms are great for kids too."""
"https://www.google.ca/maps/place/Golfzon+South+Indoor+Virtual+Golf+Lounge/data=!4m7!3m6!1s0x53a018b49e008fa9:0x344e03f4f1e3bae8!8m2!3d53.4923768!4d-113.4914036!16s%2Fg%2F1ptxqbq5x!19sChIJqY8AnrQYoFMR6Lrj8fQDTjQ?authuser=0&hl=en&rclk=1","Golfzon South Indoor Virtual Golf Lounge","4.6","(104)","Indoor golf course","·","","·","5431 Gateway Blvd NW","Open","⋅ Closes 11 p.m.","https://lh5.googleusercontent.com/p/AF1QipPKobaCUxNYqPqPj7A6ymUMUjMB2hk5oSF_eDXe=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Private rooms, the awesome self serve coolers and friendly staff."""
"https://www.google.ca/maps/place/Maximus+Indoor+Golf/data=!4m7!3m6!1s0x5390951eab27b36d:0x9304ccc478498086!8m2!3d55.2026869!4d-118.7931354!16s%2Fg%2F11tx5v1dks!19sChIJbbMnqx6VkFMRhoBJeMTMBJM?authuser=0&hl=en&rclk=1","Maximus Indoor Golf","4.9","(29)","Indoor golf course","·","","13502 99 St Bay#6","","Open 24 hours","","https://lh5.googleusercontent.com/p/AF1QipMSrz-oyzHP0AxJd68E4Hv5DYe_WUAaNdLIW3lq=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Large, relatively private rooms."""
"https://www.google.ca/maps/place/GOLF360/data=!4m7!3m6!1s0x539ff50549ee9b5f:0x151eca0a75565095!8m2!3d53.4304197!4d-113.5905224!16s%2Fg%2F11jsfffssm!19sChIJX5vuSQX1n1MRlVBWdQrKHhU?authuser=0&hl=en&rclk=1","GOLF360","4.5","(79)","Indoor golf course","·","","6031 Andrews Way SW","","Open","⋅ Closes 11 p.m.","https://lh5.googleusercontent.com/p/AF1QipOIN9TCINyV1Ee2lATI9C8CgGt3tB8oQyR2VSoc=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Always very clean and the couches are very comfy!"""
"https://www.google.ca/maps/place/Towne+Centre+Golf/data=!4m7!3m6!1s0x5390916b3ea914cb:0xe4ff3957e92c3b82!8m2!3d55.1693229!4d-118.7901928!16s%2Fg%2F11pkcdsfjw!19sChIJyxSpPmuRkFMRgjss6Vc5_-Q?authuser=0&hl=en&rclk=1","Towne Centre Golf","4.8","(44)","Indoor golf course","·","","·","9845 99 Ave #8","Open","⋅ Closes 10 p.m.","https://lh5.googleusercontent.com/p/AF1QipNsGYv8qbBzN1Z64BN8JgDmdi4bkSLtNW_Fwy-j=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Amazing facility."""
