"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"https://www.google.ca/maps/place/Breaking+Par+Golf+Inc./data=!4m7!3m6!1s0x537fd3420a60564f:0x34db5fa48cef9ca2!8m2!3d50.7130393!4d-120.4142761!16s%2Fg%2F11lfzthll7!19sChIJT1ZgCkLTf1MRopzvjKRf2zQ?authuser=0&hl=en&rclk=1","Breaking Par Golf Inc.","4.8","(61)","Indoor golf course","·","","·","2400A Ord Rd","Open","⋅ Closes 11 p.m.","https://lh5.googleusercontent.com/p/AF1QipOTiE2Mute0WhGhNW9VK5evrTVW-B3iIl71CxVU=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The facility has three open bays, one private bay, and a practice bay."""
"https://www.google.ca/maps/place/Golf+Evolution/data=!4m7!3m6!1s0x537d8d936f2f7809:0x9fa088f6def5a31e!8m2!3d49.8881659!4d-119.4294849!16s%2Fg%2F11txp7krrb!19sChIJCXgvb5ONfVMRHqP13vaIoJ8?authuser=0&hl=en&rclk=1","Golf Evolution","4.9","(90)","Indoor golf course","·","","·","2544 Enterprise Way","Opens soon","⋅ 9 a.m.","https://lh5.googleusercontent.com/p/AF1QipNqsMsAf-U5kDBTPgAzUizBFFt16LR__dnBfDYv=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I booked an hour by myself and completed ""18 holes"" in under 35 minutes."""
"https://www.google.ca/maps/place/Anytime+Sim+Golf/data=!4m7!3m6!1s0x537df3cb2b0742ad:0xaf887a5e4fc392d0!8m2!3d49.8941268!4d-119.4838333!16s%2Fg%2F11t4x3pg_m!19sChIJrUIHK8vzfVMR0JLDT156iK8?authuser=0&hl=en&rclk=1","Anytime Sim Golf","4.4","(66)","Indoor golf course","·","","·","889 Vaughan Ave #103","Open 24 hours","","https://lh5.googleusercontent.com/p/AF1QipPOpd3EEJrdmoDUStb0lwpWHFtda2pvmz2I6n41=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They have a ton of different course selections and a driving range option."""
"https://www.google.ca/maps/place/Kamloops+Virtual+Golf/data=!4m7!3m6!1s0x537e2d0051c624b3:0x60935bfa134e1500!8m2!3d50.6770734!4d-120.3376739!16s%2Fg%2F11y7w7sv6w!19sChIJsyTGUQAtflMRABVOE_pbk2A?authuser=0&hl=en&rclk=1","Kamloops Virtual Golf","5.0","(37)","Indoor golf course","·","","141 Lorne St","","Closed","⋅ Opens 10 a.m.","https://lh5.googleusercontent.com/p/AF1QipN8v7H8yFbJMlwR8lCWX0kZV_YzEJm4hrApUUiY=w92-h92-k-no","","Onsite services"
"https://www.google.ca/maps/place/Okanagan+Virtual+Golf/data=!4m7!3m6!1s0x54828999714dbd3d:0x7c64e93cb121e673!8m2!3d49.4987117!4d-119.592232!16s%2Fg%2F11tn_4r1zz!19sChIJPb1NcZmJglQRc-YhsTzpZHw?authuser=0&hl=en&rclk=1","Okanagan Virtual Golf","5.0","(33)","Indoor golf course","·","","·","310 Main St","Closed","⋅ Opens 10 a.m.","https://lh5.googleusercontent.com/p/AF1QipOXY6rWMg13i56kA073Thaw-trUtaQ8U5Tfl9ZL=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Inclusive space and very welcoming to all level of players !"""
"https://www.google.ca/maps/place/Dante%27s+Golf+Lounge/data=!4m7!3m6!1s0x537ddf11a34eb463:0x99856150cc7cca29!8m2!3d50.2678131!4d-119.3395108!16s%2Fg%2F11whjqftnr!19sChIJY7ROoxHffVMRKcp8zFBhhZk?authuser=0&hl=en&rclk=1","Dante's Golf Lounge","5.0","(2)","Indoor golf course","·","","·","8800 Rising View Way","Closed","⋅ Opens 10 a.m.","https://lh5.googleusercontent.com/p/AF1QipMU8nTqHTMmAxhV2kYJLiNf5t2gL2NLfBlT7O4=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""That is, of course, until you learn of Dante’s Golf Lounge."""
"https://www.google.ca/maps/place/JSquared+Golf/data=!4m7!3m6!1s0x537d8c4808255555:0x70ac02d07c3e00b1!8m2!3d49.8411246!4d-119.3797657!16s%2Fg%2F11my42xt1w!19sChIJVVUlCEiMfVMRsQA-fNACrHA?authuser=0&hl=en&rclk=1","JSquared Golf","5.0","(3)","Indoor golf course","·","","4320 Gallaghers Dr W","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3wgZFG31zSzhPspHHROnKA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=336.39294&pitch=0&thumbfov=100","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Look nowhere else for the best simulator experience in Kelowna!"""
"https://www.google.ca/maps/place/The+Final+hazard.+Brady%27s+indoor+golf+and+games/data=!4m7!3m6!1s0x5362add4e697cc67:0xe8dd976d3e2c536d!8m2!3d49.0335526!4d-118.437812!16s%2Fg%2F11tp9l2qw0!19sChIJZ8yX5tStYlMRbVMsPm2X3eg?authuser=0&hl=en&rclk=1","The Final hazard. Brady's indoor golf and games","5.0","(2)","Indoor golf course","·","","7375 2 St","","","","https://lh5.googleusercontent.com/p/AF1QipMPah_NyzSD3tY5dnj1c4p_HR5vPcIXWa35KpBI=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Two bays, tons of courses, righty or lefty, and top notch graphics and tech."""
