"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Stonehedge+Indoor+Golf/data=!4m7!3m6!1s0x89e024f2d5ae146d:0x9356d24f2aadfad5!8m2!3d43.59676!4d-72.969452!16s%2Fg%2F11bx0h4dlq!19sChIJbRSu1fIk4IkR1fqtKk_SVpM?authuser=0&hl=en&rclk=1","Stonehedge Indoor Golf","4.8","(94)","Indoor golf course","·","","·","172 S Main St","Open","⋅ Closes 9 p.m.","https://lh3.googleusercontent.com/p/AF1QipN8vozbFl9995RWRle5zYgvEnmIQ_TSp_gXD_nc=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Virtual reality golf or clay shooting."""
"https://www.google.com/maps/place/Back+Nine+Indoor+Golf+Lounge/data=!4m7!3m6!1s0x4cca7b37b9d79e67:0xaf8e40bd21b4ed!8m2!3d44.4841487!4d-73.1675277!16s%2Fg%2F11wpqkyv0h!19sChIJZ57XuTd7ykwR7bQhvUCOrwA?authuser=0&hl=en&rclk=1","Back Nine Indoor Golf Lounge","4.8","(17)","Indoor golf course","·","","The corner of Berard Street and, 1205 Airport Pkwy","","Open","⋅ Closes 10 p.m.","https://lh3.googleusercontent.com/p/AF1QipObDxU_zkXZavn4l0wVbIWcl14Lt7m2DcllcBft=w102-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The simulator space felt big from side to side."""
"https://www.google.com/maps/place/Whack+Vermont/data=!4m7!3m6!1s0x4cca7df2081b3dd3:0x1d6cb33782af1600!8m2!3d44.3834097!4d-73.2283877!16s%2Fg%2F11w8fpg11m!19sChIJ0z0bCPJ9ykwRABavgjezbB0?authuser=0&hl=en&rclk=1","Whack Vermont","5.0","(13)","Indoor golf course","·","","166 Athletic Dr","","Open","⋅ Closes 11 p.m.","https://lh3.googleusercontent.com/p/AF1QipOe620awGDX739CLbRcQLx1Dc-zaDdnqdakuRtf=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Total self service, means complete privacy to practice without distractions."""
"https://www.google.com/maps/place/The+Green+Room/data=!4m7!3m6!1s0x4cb5970cf9ff5545:0x32d39ff0246e372a!8m2!3d44.4715798!4d-72.6868772!16s%2Fg%2F11vwlcp3s4!19sChIJRVX_-QyXtUwRKjduJPCf0zI?authuser=0&hl=en&rclk=1","The Green Room","5.0","(3)","Indoor golf course","·","","454 Mountain Rd","","Open","⋅ Closes 11 p.m.","https://lh3.googleusercontent.com/p/AF1QipNTnglU3EvFX65ingG4HSXMRhUl06fHZCz_yKrX=w80-h101-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Was looking to get a few swings in before a golf trip."""
"https://www.google.com/maps/place/Gonzo%27s+HD+Sports/data=!4m7!3m6!1s0x4cca799b5ecf6531:0x1b4b6a165dd3686b!8m2!3d44.4624262!4d-73.1518058!16s%2Fg%2F1tj9szby!19sChIJMWXPXpt5ykwRa2jTXRZqSxs?authuser=0&hl=en&rclk=1","Gonzo's HD Sports","4.5","(95)","Indoor golf course","·","","·","1860 Williston Rd","Open","⋅ Closes 8 p.m.","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_vZ_qJYLwgX8aOXaNS1yltsytjXjMb2SAklXJO3DG1rBE-GVuDaeTEONshygGS4zoD53qG7GKudqjh7H4vLtPRJJr9m76a3AIzhfH_MQjljyiF3ZzIDszgTfcvXFgU4JB4BHJCvw=w80-h106-k-no","","No takeout"
"https://www.google.com/maps/place/Golf+Garage+VT/data=!4m7!3m6!1s0x4cca7bed7152301d:0x332ff9d2d8ac11e8!8m2!3d44.4370912!4d-73.2112539!16s%2Fg%2F11rvcvxw8_!19sChIJHTBSce17ykwR6BGs2NL5LzM?authuser=0&hl=en&rclk=1","Golf Garage VT","5.0","(29)","Golf instructor","·","","·","1185 Shelburne Rd # 001","Closed","⋅ Opens 9 a.m. Tue","https://lh3.googleusercontent.com/p/AF1QipNPrP8l8ngT8W7_hUGwIicDp_PWyscW1oWw3ZYI=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""True"
"https://www.google.com/maps/place/Essex+Family+Fun+%26+Entertainment+Center/data=!4m7!3m6!1s0x4cca770b22985495:0xc7f5aaadd67ac95d!8m2!3d44.5062228!4d-73.0908062!16s%2Fg%2F1v_smw4q!19sChIJlVSYIgt3ykwRXcl61q2q9cc?authuser=0&hl=en&rclk=1","Essex Family Fun & Entertainment Center","3.9","(166)","Miniature golf course","·","","·","48 Upper Main St","Closes soon","⋅ 7:30 p.m. ⋅ Opens 10 a.m. Tue","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9x33B12968XEngUY4JD54R4WNB1inl7t6Ox50TiqmlZCcP3Xs0NuGwZFtZO9l4iUZupteumGxM4H4BVLKaExxBcMvQi30dxuGiD92t7OO35YbUuEEHvxR7ubSSN51p8fyiVWze=w80-h133-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""So much fun..."
"https://www.google.com/maps/place/Green+Mountain+Greens/data=!4m7!3m6!1s0x4cca7bd4016d0ff9:0xfa85289d07575876!8m2!3d44.4641309!4d-73.1842688!16s%2Fg%2F11v_5qrjd2!19sChIJ-Q9tAdR7ykwRdlhXB50ohfo?authuser=0&hl=en&rclk=1","Green Mountain Greens","5.0","(3)","Miniature golf course","·","","·","155 Dorset St","Closed","⋅ Opens 12 p.m. Fri","https://lh3.googleusercontent.com/p/AF1QipPZe77JyXW4Jo6vt9UgoNUR5pi1rov9AQDDjZK7=w80-h105-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The course is a lot of fun but still kept at a great price."""
